"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"陳國公主墓（內蒙古奈曼旗）","內蒙古文物考古研究院","1986","考古與物質文化","內蒙古文物考古研究院","CN-ST-LIAO-CHENGUO-01","–","zh","圖檔;文字","1986年內蒙古奈曼旗青龍山鎮發掘遼陳國公主與駙馬合葬墓，為迄今保存最完整之契丹貴族墓葬：墓主身著銀絲網絡葬衣、戴金面具，隨葬金銀馬具、琥珀飾件、瓷器等，未經盜擾，為契丹貴族生活與遼代物質文化之空前發現","陳國公主墓;契丹;金面具;銀絲網絡;遼代墓葬","遼","內蒙古奈曼旗","–","庫倫遼墓壁畫;遼慶陵考古;遼代陶瓷","內蒙古文物考古研究院","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","遼代貴族墓保存最完整者","遼")
"庫倫遼墓壁畫","內蒙古文物考古研究院","1970s–","考古與物質文化","內蒙古文物考古研究院","CN-ST-LIAO-KULUN-01","–","zh","圖檔;文字","內蒙古庫倫旗前勿力布格等遼墓出土大量彩色壁畫，內容含出行儀仗、宴飲、樂舞、山水花鳥等，人物著契丹與漢族服飾並存，技法承唐而開啟北族畫風，為遼代社會生活與美術史之珍貴圖像資料","庫倫遼墓;壁畫;契丹;遼代墓葬;美術史","遼","內蒙古庫倫旗","–","陳國公主墓;遼代陶瓷;應縣木塔","內蒙古文物考古研究院","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","遼代壁畫藝術之代表","遼")
"應縣木塔（佛宮寺釋迦塔）","遼朝（民間營建）","遼（1056）","考古與物質文化","山西博物院","CN-ST-LIAO-YINGXIAN-01","https://www.shanximuseum.com/","zh","圖檔;文字","山西應縣佛宮寺釋迦塔俗稱應縣木塔，建於遼清寧二年（1056），高67.31公尺，為世界現存最高之木結構古建築，五層六檐，歷經地震屹立千年，塔內發現遼代秘藏佛經、佛畫等文物，係遼代建築技術與佛教文化之頂峰","應縣木塔;佛宮寺;遼代建築;木構;佛教文物","遼","山西應縣","–","薊縣獨樂寺;義縣奉國寺;遼代佛教","山西博物院","–","2026-07-31","ARR","館藏與影像依山西博物院規定","已收錄 metadata","世界現存最高木構古建築","遼")
"薊縣獨樂寺（天津，遼代建築）","遼朝","遼（984）","考古與物質文化","天津博物館","CN-ST-LIAO-DULESI-01","https://www.tjbwg.com/","zh","圖檔;文字","天津薊州獨樂寺觀音閣與山門為現存年代最早之遼代木構建築群（統和二年，984年重建），觀音閣高約23公尺，內奉十一面觀音泥塑，樑架結構雄偉，為研究唐遼建築制度承繼關係與《營造法式》之實物標尺","獨樂寺;薊州;遼代建築;觀音閣;大木作","遼","天津薊州","–","應縣木塔;義縣奉國寺;營造法式","天津博物館","–","2026-07-31","ARR","館藏與影像依天津博物館規定","已收錄 metadata","現存最早遼代木構建築","遼")
"遼代陶瓷（雞冠壺、遼三彩）","遼朝工匠","遼（10–12世紀）","考古與物質文化","內蒙古博物院","CN-ST-LIAO-CIYAO-01","https://www.nmgbwgy.com/","zh","圖檔;文字","遼代陶瓷兼具契丹與漢人工藝特色：皮囊壺（雞冠壺）仿皮革器形，遼三彩與白瓷多承唐五代技法，赤峰缸瓦窯、林東上京窯等為重要窯場，標本反映草原遊牧與農耕文化交融，為遼代物質文化研究之重要門類","遼三彩;雞冠壺;遼瓷;缸瓦窯;契丹","遼","內蒙古赤峰;遼寧","–","陳國公主墓;汝窯考古;定窯遺址考古","內蒙古博物院","–","2026-07-31","ARR","館藏與影像依內蒙古博物院規定","已收錄 metadata","草原與農耕文化交融之器","遼")
"義縣奉國寺（遼代木構）","遼朝","遼（1020）","考古與物質文化","遼寧省文物考古研究院","CN-ST-LIAO-FENGGUO-01","https://www.lnkaogu.com/","zh","圖檔;文字","遼寧義縣奉國寺建於遼開泰九年（1020），大雄殿為現存體量最大之遼代單體木構建築，殿內保存遼代彩塑七佛與壁畫，與應縣木塔、獨樂寺並列遼代建築三大遺珍，為東亞古代木構技術之重要標本","奉國寺;義縣;遼代建築;七佛;木構大殿","遼","遼寧義縣","–","應縣木塔;薊縣獨樂寺;營造法式","遼寧省文物考古研究院","–","2026-07-31","ARR","考古報告與影像依遼寧省文物考古研究院規定","已收錄 metadata","現存最大遼代木構大殿","遼")
"天盛改舊新定律令（黑水城西夏法典）","西夏仁宗敕編","西夏（1149–1169）","傳世文獻","中國國家圖書館","CN-ST-XIXIA-LV-01","http://www.nlc.cn/","zh","文字","《天盛改舊新定律令》為西夏仁宗天盛年間（1149–1169）頒行之綜合法典，二十卷，以西夏文書寫，1908–1909年自內蒙古額濟納黑水城遺址出土，涵蓋行政、刑事、民事、軍事、畜牧諸法，為現存最完整之西夏法典，亦是十一世紀東亞少數民族政權立法之珍貴文獻","天盛律令;西夏法典;黑水城;西夏文;法制史","西夏","寧夏;內蒙古黑水城","–","番漢合時掌中珠;黑水城西夏文獻;西夏王陵考古","中國國家圖書館","–","2026-07-31","UNCLEAR","館藏文獻影像依中國國家圖書館規定","已收錄 metadata","現存最完整西夏法典","西夏")
"黑水城西夏文獻（英藏）","西夏／元（多種文書）","西夏（11–13世紀）","傳世文獻","英國國家圖書館","CN-ST-XIXIA-HEISHUI-01","https://www.bl.uk/","zh","圖檔;文字","內蒙古額濟納黑水城為西夏故城，出土文獻包括西夏文佛經、辭書、契約、官府文書及漢文典籍等，總量居世界之最，分藏俄、英、中諸國，英國國家圖書館所藏（斯坦因所得）含西夏文《金剛經》、繪畫與檔案，為西夏語言文字、社會經濟與佛教文化研究之基礎","黑水城;西夏文;文獻;斯坦因;佛教","西夏","內蒙古額濟納","–","天盛改舊新定律令;番漢合時掌中珠;榆林窟西夏壁畫","英國國家圖書館","–","2026-07-31","UNCLEAR","館藏影像依英國國家圖書館規定","已收錄 metadata","西夏文獻世界性庋藏之一","西夏")
"番漢合時掌中珠（骨勒茂才）","骨勒茂才","西夏（1190）","傳世文獻","中國國家圖書館","CN-ST-XIXIA-ZHANGZHONGZHU-01","http://www.nlc.cn/","zh","文字","西夏骨勒茂才撰《番漢合時掌中珠》，為西夏文與漢文對照之雙語辭書，按天、地、人分部收錄詞語，以漢字注西夏音、以西夏文注漢字音義，1908年自黑水城出土，係解讀西夏文字之「羅塞塔石碑」，亦為西夏與漢文化交流之直接見證","番漢合時掌中珠;骨勒茂才;西夏文;雙語辭書;文字學","西夏","寧夏;內蒙古黑水城","–","黑水城西夏文獻;天盛改舊新定律令","中國國家圖書館","–","2026-07-31","UNCLEAR","館藏文獻影像依中國國家圖書館規定","已收錄 metadata","解讀西夏文之羅塞塔石碑","西夏")
"西夏王陵考古（寧夏銀川）","寧夏文物考古研究所","1970s–","考古與物質文化","寧夏文物考古研究所","CN-ST-XIXIA-WANGLING-01","–","zh","圖檔;文字","西夏王陵位於寧夏銀川賀蘭山東麓，佔地五十平方公里，含帝陵九座、陪葬墓二百餘座，陵塔以夯土築為佛塔式高台，1970年代以來寧夏文物考古研究所等多次發掘，出土西夏文碑、鎏金銅牛等，為西夏陵寢制度與王國興衰之核心實證","西夏王陵;銀川;帝陵;西夏文碑;考古","西夏","寧夏銀川","–","黑水城西夏文獻;榆林窟西夏壁畫;天盛改舊新定律令","寧夏文物考古研究所","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","賀蘭山麓之東方金字塔","西夏")
"榆林窟西夏壁畫","西夏畫師","西夏（11–13世紀）","照片與影像","敦煌研究院","CN-ST-XIXIA-YULIN-01","https://www.dha.ac.cn/","zh","圖檔","甘肅瓜州榆林窟保存西夏供養人與經變壁畫，尤以第29窟西夏供養人像、第3窟「文殊變」「普賢變」及密教曼荼羅最著，畫風兼融中原與吐蕃影響，為西夏佛教藝術與民族服飾之珍貴圖像史料","榆林窟;西夏壁畫;供養人;敦煌藝術;佛教","西夏","甘肅瓜州","–","黑水城西夏文獻;西夏王陵考古;敦煌隋窟","敦煌研究院","–","2026-07-31","ARR","館藏影像依敦煌研究院規定","已收錄 metadata","西夏佛教藝術之集中體現","西夏")
"西夏瓷與靈武窯","西夏工匠","西夏（11–13世紀）","考古與物質文化","寧夏文物考古研究所","CN-ST-XIXIA-CIYAO-01","–","zh","圖檔;文字","寧夏靈武磁窯堡窯為西夏最大窯場，1976年以來發掘出土白釉、黑釉、褐釉瓷器與窯具，器物多日用器並帶西夏特有裝飾，兼有白瓷板瓦等建材，反映西夏手工業水準與中原製瓷技術之西傳，為西夏經濟考古之重要組成","西夏瓷;靈武窯;磁窯堡;白瓷;手工業","西夏","寧夏靈武","–","西夏王陵考古;遼代陶瓷;黑水城西夏文獻","寧夏文物考古研究所","–","2026-07-31","ARR","考古報告由文物出版社等出版","已收錄 metadata","西夏最大窯場之遺存","西夏")
