"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註"
"敦煌吐魯番文書（唐代部分）— 英國國家圖書館斯坦因藏品","斯坦因（Marc Aurel Stein）","1907","考古與物質文化","英國國家圖書館","CN-ST-STAINDOCS-01","https://www.bl.uk/","en;zh","圖檔;文字","斯坦因1907年自敦煌莫高窟藏經洞取走文書約7,000件，其中唐代部分包括詔令、籍帳、契約、寺院文書、經卷等，年代涵蓋唐高宗至晚唐（650–900）。為唐代西域行政、軍事、社會、經濟、宗教生活之最珍貴出土文獻","敦煌吐魯番文書;斯坦因;英國國家圖書館;出土文獻;唐代;西域","唐","甘肅敦煌;新疆吐魯番","–","敦煌莫高窟;法國國家圖書館伯希和藏品;中國國家圖書館敦煌文獻","英國國家圖書館","–","2026-07-30","UNCLEAR","英國國家圖書館已數位化並線上公開","已收錄 metadata","斯坦因敦煌文書為唐代西域生活之珍貴第一手史料","唐")
"敦煌吐魯番文書（唐代部分）— 法國國家圖書館伯希和藏品","伯希和（Paul Pelliot）","1908","考古與物質文化","法國國家圖書館","CN-ST-PELLIOTDOCS-01","https://gallica.bnf.fr/","fr;zh","圖檔;文字","伯希和1908年自敦煌莫高窟取走文書約3,000件，含大量佛經、道經、摩尼教/景教文獻及唐代戶籍、契約、變文、書儀等，學術價值極高。伯希和精通漢語，所選文書多為精品，為國際敦煌學之核心資料庫","敦煌吐魯番文書;伯希和;法國國家圖書館;敦煌學;唐代","唐","甘肅敦煌","–","英國國家圖書館斯坦因藏品;中國國家圖書館敦煌文獻","法國國家圖書館","–","2026-07-30","UNCLEAR","Gallica數位圖書館已線上公開","已收錄 metadata","伯希和精通漢語，所取敦煌文書多為精品","唐")
"唐代墓誌彙編（漢籍全文資料庫等）","周紹良主編","唐","碑碣與實物刻文","中央研究院","CN-ST-TANGMUZHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字;圖檔","《唐代墓誌彙編》收錄唐代（618–907）墓誌約5,000餘方，涵蓋皇室、官僚、士人、平民各階層，內容含生平事蹟、家族世系、官職遷轉、社會網絡等。墓誌為唐代社會史、家族史、制度史研究之最重要石刻史料，數量居各朝代墓誌之冠","唐代墓誌;石刻;社會史;家族史;碑刻","唐","全中國","–","唐代帝陵;唐代壁畫墓;全唐文","中央研究院","–","2026-07-30","UNCLEAR","《唐代墓誌彙編》由上海古籍出版社出版；漢籍全文資料庫需申請","已收錄 metadata","唐代墓誌數量居各朝代墓誌之冠，社會史研究之核心石刻史料","唐")
"大秦景教流行中國碑數位拓片","西安碑林博物館","1625（出土）","碑碣與實物刻文","西安碑林博物館","CN-ST-JINGJIAO-01","https://www.beilin-museum.com/","zh","圖檔;文字","大秦景教流行中國碑立於唐德宗建中二年（781年），記述景教（聶斯托利派基督教）自貞觀九年（635年）入華至建中二年共146年間在唐代流傳之歷史。碑文由景淨撰、呂秀巖書，額題「大秦景教流行中國碑」，為世界基督教史與中西文化交流史之最重要碑刻","大秦景教流行中國碑;景教;唐代;基督教;碑刻","唐","陝西西安","–","唐蕃會盟碑;敦煌景教文獻","西安碑林博物館","–","2026-07-30","UNCLEAR","西安碑林博物館對外公開展示","已收錄 metadata","世界基督教史與中西文化交流史之最重要碑刻","唐")
"唐蕃會盟碑拓片","拉薩大昭寺","823（立碑）","碑碣與實物刻文","拉薩大昭寺","CN-ST-TANGBO-01","https://www.zha.gov.cn/","zh;bo","圖檔;文字","唐蕃會盟碑（又稱長慶會盟碑、甥舅和盟碑）立於唐穆宗長慶三年（823年），碑文以藏文、漢文記載唐朝與吐蕃第八次會盟內容。碑文中「社稷如一」「結立大和盟約」為漢藏民族友好之歷史見證，為研究唐蕃關係史之最重要碑刻","唐蕃會盟碑;吐蕃;唐代;會盟;碑刻","唐","西藏拉薩","–","大秦景教流行中國碑;敦煌吐蕃文書","拉薩大昭寺","–","2026-07-30","UNCLEAR","大昭寺對外公開展示","已收錄 metadata","漢藏友好之歷史見證，唐蕃關係史之最重要碑刻","唐")
"元和郡縣圖志（漢籍全文資料庫）","李吉甫","唐（813）","方志與輿圖","中央研究院","CN-ST-YUANHE-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","唐李吉甫撰《元和郡縣圖志》，為中國現存最早之全國地理總志，記述唐元和年間（806–820）十道、47鎮、295州、1,444縣之建置沿革、戶口、貢賦、山川、古蹟等。原書含圖47幅（今佚），為唐代歷史地理研究之最基本文獻","元和郡縣圖志;李吉甫;唐代;地理;方志;十道","唐","全中國","–","舊唐書地理志;水經注;太平寰宇記","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國現存最早之全國地理總志","唐")
"全唐詩（漢籍全文資料庫）","彭定求等（清編）","清（1706）","考古與物質文化","中央研究院","CN-ST-QUANTANGSHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","清康熙年間敕編《全唐詩》，收錄唐代2,200餘位詩人48,900餘首詩作，含李白、杜甫、王維、白居易、李商隱、杜牧等大家全集。為唐代文學研究之最完整詩歌總集，不僅為文學瑰寶亦為研究唐代社會、文化、宗教之重要史料","全唐詩;唐詩;李白;杜甫;白居易;唐代文學","唐","全中國","–","全唐文;文苑英華;唐才子傳","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","唐詩為中國文學之巔峰，全唐詩為最完整唐詩總集","唐")
"全唐文（漢籍全文資料庫）","董誥等（清編）","清（1814）","考古與物質文化","中央研究院","CN-ST-QUANTANGWEN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","清嘉慶年間敕編《全唐文》，收錄唐代3,042位作者之文章18,488篇，含詔令、奏議、碑誌、序跋、書信、賦頌等各種文體。與《全唐詩》並為唐代文學文獻之雙璧，為唐代制度史、社會史、思想史研究之豐富文獻庫","全唐文;唐代文章;唐代文學;碑誌;詔令","唐","全中國","–","全唐詩;文苑英華;唐文粹","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","與全唐詩並為唐代文獻之雙璧","唐")
"唐代科舉制度史料（登科記考等）","徐松（清）","清","官方檔案文書","中央研究院","CN-ST-KEJU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","唐代科舉制度為中國科舉取士之成熟時期，含常科（秀才、明經、進士、明法、明書、明算）與制科。清徐松《登科記考》輯錄唐代科舉史料最為完備。唐代進士科尤重詩賦，「三十老明經、五十少進士」為當時諺語，為研究唐代選官制度與士人社會之關鍵","唐代科舉;登科記;進士;明經;科舉制度","唐","全中國","–","唐六典;舊唐書;全唐詩","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","唐代為科舉制度之成熟時期，進士科尤重詩賦","唐")
"大唐西域記（漢籍全文資料庫）","玄奘","唐（646）","人物傳記與家族史料","中央研究院","CN-ST-DATANGXIYU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","唐玄奘撰《大唐西域記》，記述玄奘西行求法（629–645）行經110國、傳聞28國之地理、歷史、宗教、風俗、物產、語言、文字等。為研究七世紀中亞、南亞歷史地理與佛教史之最權威文獻，在印度本土史料極度匱乏之情況下尤為珍貴","大唐西域記;玄奘;西域;印度;佛教;絲綢之路","唐","中亞/南亞","–","大慈恩寺三藏法師傳;佛國記;長春真人西遊記","中央研究院","–","2026-07-30","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","七世紀中亞南亞歷史地理之最權威文獻","唐")
"隋唐五代佛教大藏經文獻（高麗藏／趙城金藏等）","歷代譯經師","隋唐五代","考古與物質文化","中華電子佛典協會","CN-ST-BUDDHA-01","https://cbeta.org/","zh;sa","文字","隋唐五代為中國佛教之鼎盛時期，含隋代智顗（天台宗）、吉藏（三論宗）、唐代玄奘（法相宗）、法藏（華嚴宗）、慧能（禪宗）、善導（淨土宗）、惠果（密宗）等宗派開創。高麗藏與趙城金藏保存此期大量譯經與中國僧人論著，為東亞佛教文獻之核心","佛教;大藏經;隋唐佛教;天台宗;禪宗;法相宗","隋唐五代","全中國","–","敦煌佛經;大唐西域記;法門寺","中華電子佛典協會","–","2026-07-30","OPEN","CBETA 免費公開全文","已收錄 metadata","隋唐為中國佛教鼎盛時期，八大宗派蔚為大觀","隋唐五代")
"唐代社會經濟契約文書（敦煌吐魯番文書）","中國國家圖書館","1900","官方檔案文書","中國國家圖書館","CN-ST-ECONCONTRACTS-01","https://www.nlc.cn/","zh","圖檔;文字","敦煌吐魯番出土唐代契約文書數百件，含買賣、租佃、借貸、僱傭、合夥等各種經濟契約，蓋有官印、指節或畫押，記年月日及雙方姓名。為研究唐代土地制度、貨幣經濟、商業習慣、法律實踐之最直接出土文書證據","唐代契約;敦煌文書;經濟史;土地制度;商業","唐","甘肅敦煌;新疆吐魯番","–","敦煌吐魯番文書（斯坦因）;唐律疏議","中國國家圖書館","–","2026-07-30","UNCLEAR","中國國家圖書館已數位化","已收錄 metadata","敦煌吐魯番契約文書為唐代經濟史之最直接證據","唐")
