"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","明"
"《九邊圖》與明代北疆防禦輿圖","明代繪圖官","明（14–17世紀）","方志與輿圖","中國國家圖書館","CN-ST-MING-JIUBIANTU-01","–","zh","地圖","明代沿長城設遼東、薊鎮、宣府、大同、山西、延綏、寧夏、固原、甘肅九邊重鎮，《九邊圖》繪九鎮形勝、墩臺與駐軍，中國國家圖書館藏《九邊圖》彩繪本為明代北部邊防最完整之輿圖","九邊;長城;邊防;輿圖;軍鎮","明","長城沿線","–","廣輿圖;明長城遺存","中國國家圖書館","–","2026-07-31","UNCLEAR","國圖藏彩繪本需到館閱覽","已收錄 metadata","明代九邊防務之空間實錄","明")
"《永樂大典》殘本","解縉／姚廣孝等（編）","明永樂五年（1407）","傳世文獻","中國國家圖書館","CN-ST-MING-YONGLE-01","–","zh","文字","《永樂大典》二萬二千八百七十七卷，為世界最大百科全書，今存殘本約八百餘卷分藏世界各地，中國國家圖書館藏約二百二十餘卷，保存宋元佚文與方志、醫學、科技資料，尤以「門」類輯佚價值最高","永樂大典;類書;百科全書;輯佚;解縉","明","全中國","–","明會典;大明一統志","中國國家圖書館","–","2026-07-31","UNCLEAR","殘本分藏全球，國圖藏本部分數位公開","已收錄 metadata","世界最大類書之劫餘殘卷","明")
"明代四大奇書（《三國演義》《水滸傳》《西遊記》《金瓶梅》）","羅貫中／施耐庵／吳承恩／蘭陵笑笑生","明（14–16世紀）","傳世文獻","中華書局","CN-ST-MING-SIDAQISHU-01","–","zh","文字","明代四大奇書標誌中國白話長篇小說之成熟：羅貫中《三國演義》、施耐庵《水滸傳》、吳承恩《西遊記》為章回小說典範，《金瓶梅》首開世情小說，四大奇書並保存明代社會、商業與風俗之生動側面","四大奇書;章回小說;三國演義;水滸傳;西遊記;金瓶梅","明","全中國","–","傳習錄;陽明學","中華書局","–","2026-07-31","ARR","中華書局校點本通行","已收錄 metadata","中國白話小說之高峰","明")
"《武備志》","茅元儀","明天啟元年（1621）","傳世文獻","中央研究院","CN-ST-MING-WUBEIZHI-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字;地圖","茅元儀輯《武備志》二百四十卷，分兵訣、戰略、陣練、軍資、占度五部，載火器（火銃、火箭）、軍陣與邊海防圖說，所收〈鄭和航海圖〉〈航海針經〉尤為珍貴，為明代軍事技術百科全書","武備志;茅元儀;火器;兵法;鄭和航海圖","明","全中國","–","鄭和下西洋史料;九邊圖","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代軍事科技之百科","明")
"王陽明《傳習錄》與陽明學","王守仁（王陽明）","明（1518）","傳世文獻","中央研究院","CN-ST-MING-CHUANXILU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","王守仁集心學大成，倡「致良知」「知行合一」，其與門人問答由徐愛等輯為《傳習錄》三卷，晚年講學江西、浙江，陽明學影響明代中葉後學術思想與東亞儒學至深","王陽明;傳習錄;心學;致良知;知行合一","明","全中國","–","明史;國朝獻徵錄","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代心學之第一經典","明")
"《國朝獻徵錄》","焦竑（輯）","明萬曆四十四年（1616）","人物傳記與家族史料","中央研究院","CN-ST-MING-XIANZHENGLU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","焦竑輯《國朝獻徵錄》一百二十卷，收明初至萬曆間宗室、百官、列卿、儒林、隱逸等人物傳記三千餘篇，取材碑誌、家傳與實錄，為明代人物傳記資料之淵藪","國朝獻徵錄;焦竑;人物傳記;碑傳;明代人物","明","全中國","–","明史;傳習錄","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代人物傳記之淵藪","明")
"《南都繁會圖》","明代院體畫家","明（15–16世紀）","照片與影像","中國國家博物館","CN-ST-MING-NANDU-01","–","zh","圖檔","明人繪《南都繁會圖》卷（中國國家博物館藏），以寫實筆法描繪南京城郊市廛百業、河運商旅與節慶繁華，人物千餘、店鋪眾多，為明代中葉城市經濟與市民生活最重要之圖像史料","南都繁會圖;南京;市井;城市經濟;明代繪畫","明","南京","–","明代黃冊與魚鱗圖冊;徽商史料","中國國家博物館","–","2026-07-31","ARR","館藏圖像依館方規定使用","已收錄 metadata","明代市井繁華之圖像實錄","明")
"明代黃冊與魚鱗圖冊","明朝戶部／地方州縣","明（1381–1644）","統計與調查資料","中國第一歷史檔案館","CN-ST-MING-HUANGCE-01","–","zh","文字;圖檔","明太祖洪武十四年（1381）推行黃冊（戶籍）與魚鱗圖冊（田籍），黃冊載丁口事產、魚鱗圖冊繪田畝形界，奠定明代賦役徵收基礎，現存徽州等地文書檔案與遼東都司檔案為制度實錄","黃冊;魚鱗圖冊;戶籍;田籍;賦役","明","全中國","–","萬曆會計錄;一條鞭法史料","中國第一歷史檔案館","–","2026-07-31","ARR","館藏檔案需申請調閱","已收錄 metadata","明代戶籍田籍制度之核心","明")
"《萬曆會計錄》","張學顏（纂）","明萬曆十年（1582）","統計與調查資料","中央研究院","CN-ST-MING-HUIJILU-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","《萬曆會計錄》四十三卷為明代財政總簿，逐項開列天下田賦、屯田、鹽課、商稅、馬政收支額，反映一條鞭法實施前後國庫收支實況，為明中葉財政統計最系統之官方紀錄","萬曆會計錄;財政;田賦;鹽課;統計","明","全中國","–","黃冊與魚鱗圖冊;一條鞭法史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代國庫收支之總帳","明")
"明定陵出土文物（萬曆帝）","中國社會科學院考古研究所（發掘）","明（1584–1620）","考古與物質文化","中國國家博物館","CN-ST-MING-DINGLING-01","–","zh","圖檔;文字","定陵為明神宗萬曆帝及孝端、孝靖二后合葬陵，1956–1958年發掘，出土金冠、龍袍、鳳冠與萬曆年間器物三千餘件，為唯一經考古發掘之明代帝陵，出土文物為明晚期宮廷制度與工藝之直接實證","定陵;萬曆皇帝;帝陵;金冠;考古發掘","明","北京（昌平十三陵）","–","明十三陵碑刻;紫禁城營建","中國國家博物館","–","2026-07-31","ARR","出土文物依文保規定，圖像多已公開","已收錄 metadata","唯一考古發掘之明代帝陵","明")
"北京故宮（紫禁城）營建史料與遺存","明朝工部／蒯祥（營造）","明永樂四年至十八年（1406–1420）","考古與物質文化","故宮博物院","CN-ST-MING-GUGONG-01","–","zh","圖檔;文字","永樂帝遷都北京，於1406–1420年營建紫禁城，前朝後寢、左祖右社之制沿《周禮》，宮殿九千餘間為世界最大木構建築群，現為北京故宮博物院，其建築與藏存文物為明代宮廷文化之總匯","紫禁城;故宮;永樂遷都;宮殿;明代建築","明","北京","–","明北京城址;明會典","故宮博物院","–","2026-07-31","ARR","故宮藏品影像依院方規定","已收錄 metadata","世界最大宮殿建築群","明")
"景德鎮御窯廠遺址與明代瓷器","江西省文物考古研究院（發掘）","明（1369–1644）","考古與物質文化","江西省文物考古研究院","CN-ST-MING-JINGDEZHEN-01","–","zh","圖檔;文字","明洪武二年設景德鎮御窯廠，專供宮廷用瓷，青花、釉裏紅、鬥彩、五彩諸名品迭出；1980年代後珠山龍珠閣遺址歷次發掘出土大量落選砸碎之御窯殘片，為明代官窯制度與瓷器工藝之考古實證","景德鎮;御窯廠;青花瓷;龍珠閣;考古","明","江西景德鎮","–","明代海外貿易史料;定陵出土文物","江西省文物考古研究院","–","2026-07-31","ARR","發掘報告已出版，館藏影像依館方規定","已收錄 metadata","官窯瓷器工藝之考古實證","明")
"明長城邊牆遺存與防禦體系","明朝北方邊鎮","明（1368–1644）","考古與物質文化","山西省文物考古研究院","CN-ST-MING-CHANGCHENG-01","–","zh","圖檔;文字","明代大規模修築長城邊牆，東起鴨綠江、西至嘉峪關，分九鎮防守，磚石包砌之山海關至居庸關段保存最完整，為世界文化遺產，現存敵臺、墩臺、關堡與牆體為明代北部防禦體系之宏偉實物","明長城;邊牆;九邊;世界遺產;防禦體系","明","長城沿線","–","九邊圖;山海關碑刻","山西省文物考古研究院","–","2026-07-31","ARR","文保單位影像依相關規定使用","已收錄 metadata","世界最大規模軍事防禦工程","明")
"明十三陵與神道碑刻","明朝皇家陵寢","明（1409–1644）","碑碣與實物刻文","北京市文物研究所","CN-ST-MING-SHISANLING-01","–","zh","圖檔;文字","明十三陵為十三位皇帝陵寢群，永樂帝長陵神道石像生與功德碑為最，各陵神功聖德碑記帝王生平，1956年發掘定陵地宮，陵區碑刻與建築為明代皇家葬制與碑碣實物之集中保存","明十三陵;長陵;神道;功德碑;帝陵","明","北京昌平","–","明定陵出土文物;明會典","北京市文物研究所","–","2026-07-31","ARR","文保單位影像依相關規定使用","已收錄 metadata","明代帝陵碑刻之集中地","明")
"一條鞭法與明代賦役制度改革","張居正（推行）","明嘉靖末至萬曆九年（1560s–1581）","產業與經濟實錄","中央研究院","CN-ST-MING-YITIAOBIAN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","一條鞭法將賦與役合併為銀兩徵收，嘉靖間始行於南方，萬曆九年（1581）張居正推廣全國，改實物與力役為折銀，中國賦役制度由實物地租邁向貨幣化之轉折，史料見《萬曆會計錄》與各省賦役全書","一條鞭法;張居正;賦役;折銀;財政改革","明","全中國","–","萬曆會計錄;黃冊與魚鱗圖冊","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國賦役貨幣化之轉折","明")
"《天工開物》","宋應星","明崇禎十年（1637）","產業與經濟實錄","中央研究院","CN-ST-MING-TIANGONG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字;圖檔","宋應星《天工開物》十八卷記衣食住行各業生產技術，涵蓋農業、紡織、冶鑄、陶瓷、舟車、火器等，附大量插圖，為中國科技史上系統總結農工生產技術之經典，明末手工業與技術水平之百科實錄","天工開物;宋應星;手工業;科技史;插圖","明","全中國","–","農政全書;景德鎮御窯廠","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代生產技術之百科全書","明")
"《農政全書》","徐光啟","明崇禎十二年（1639）","產業與經濟實錄","中央研究院","CN-ST-MING-NONGZHENG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","徐光啟著《農政全書》六十卷，分農本、田制、農事、水利、樹藝、蠶桑、荒政諸門，融彙古農書並引泰西水利之法，其中〈甘藷疏〉倡種薯救荒，為明代農學集大成之作","農政全書;徐光啟;農業;水利;荒政","明","全中國","–","天工開物;明末小冰期氣候史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代農學之集大成","明")
"徽商與明代商業史料（《士商類要》等）","徽州商人／黃汴（輯）","明（16–17世紀）","產業與經濟實錄","中央研究院","CN-ST-MING-HUISHANG-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","明代徽商足跡遍天下，操縱鹽業、典當與茶木之利，黃汴《士商類要》等商書載商路、牙稅與營商之道，《歙縣志》與徽州契約文書存其經營實錄，為明代商業資本與商幫制度之珍貴史料","徽商;商幫;商書;契約文書;商業資本","明","徽州;長江流域","–","南都繁會圖;黃冊與魚鱗圖冊","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明清商幫之首的經營實錄","明")
"《本草綱目》","李時珍","明萬曆二十四年（1596）","教育與醫療史","中央研究院","CN-ST-MING-BENCAO-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","李時珍歷二十七年編《本草綱目》五十二卷，載藥一千八百九十二種、方一萬一千餘首，分十六部六十二類，改藥物分類並繪藥圖，為中國藥物學與博物學之集大成巨著，影響及於東亞與歐洲","本草綱目;李時珍;藥學;博物學;醫藥","明","全中國","–","瘟疫論;天工開物","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國藥物學之集大成","明")
"《瘟疫論》","吳有性（吳又可）","明崇禎十五年（1642）","教育與醫療史","中央研究院","CN-ST-MING-WENYILUN-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","崇禎年間瘟疫大流行，吳有性撰《瘟疫論》首倡「戾氣」致病說，突破六淫致疫傳統，主張疠氣從口鼻而入、創達原飲等方，開溫病學派先河，為中國傳染病學之里程碑","瘟疫論;吳有性;戾氣;溫病;傳染病","明","全中國","–","本草綱目;明末小冰期氣候史料","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","中國傳染病學之里程碑","明")
"明代科舉制度史料（鄉會試與狀元卷）","明朝禮部／國子監","明（1370–1644）","教育與醫療史","中國第一歷史檔案館","CN-ST-MING-KEJU-01","–","zh","文字;圖檔","明代科舉三年一試，鄉試會試殿試三級相承，洪武三年（1370）詔開科取士，八股取士制度確立，《明會典》載科場規制，現存萬曆狀元趙秉忠殿試卷等真跡為科舉制度之直接實物","科舉;八股文;狀元卷;殿試;教育制度","明","全中國","–","明會典;國朝獻徵錄","中國第一歷史檔案館","–","2026-07-31","ARR","館藏卷宗需申請調閱","已收錄 metadata","明代取士制度之實物實錄","明")
"《徐霞客遊記》","徐弘祖（徐霞客）","明（1613–1639）","自然與環境背景","中央研究院","CN-ST-MING-XUXIAKE-01","https://hanchi.ihp.sinica.edu.tw/","zh","文字","徐霞客畢生遊歷三十餘年，足跡遍及大半中國，其《徐霞客遊記》記山川形勢、岩溶地貌與人文風俗，對石灰岩喀斯特地貌之觀察領先世界二百年，為明代地理學與自然考察之第一手記錄","徐霞客遊記;地理考察;喀斯特;岩溶;自然地理","明","全中國","–","廣輿圖;天工開物","中央研究院","–","2026-07-31","UNCLEAR","漢籍全文資料庫需申請帳號密碼","已收錄 metadata","明代地理考察之第一手記錄","明")
