"題名","creator","日期","類型","來源","識別碼","來源網址","語言","資料類型","描述","主題","年代範圍","地理範圍","翻譯者","關聯","出版者","貢獻者","取得日期","授權狀態","授權備註","收錄狀態","備註","南亞"
"牛津博德利圖書館梵文手稿（Clay計畫）","印度各地抄書匠（佚名）","11–19世紀","考古與物質文化","牛津博德利圖書館","IN-ST-11","https://digital.bodleian.ox.ac.uk/collections/sanskrit-manuscripts-clay/","sa;pi","圖檔","博德利圖書館藏約8,700件梵文手稿為境外最大梵文收藏之一，Clay Sanskrit Library計畫已數位化逾100部重要作品（含樺樹皮・貝葉寫本），全部線上公開，反映中世紀印度古典文學與宗教文獻","梵文手稿;貝葉經;梵文經典;數位典藏;博德利圖書館","中世紀印度（德里蘇丹國，約550–1526）","印度全境（典藏於英國牛津）","–","劍橋大學數位圖書館梵文手稿;IGNCA數位典藏","–","牛津博德利圖書館（數位典藏）","2026-08-01","ARR","大學數位圖書館，免費開放","已收錄 metadata","境外梵文收藏代表","印度"
"IGNCA數位典藏（Kalasampada）","英迪拉·甘地國立藝術中心（IGNCA）","中世紀梵文經典","考古與物質文化","英迪拉·甘地國立藝術中心（IGNCA）","IN-ST-12","https://ignca.gov.in/","sa;hi;en","文字;圖檔;影音","印度文化部轄下知識典藏中心，Kalasampada數位庫含數十萬手稿・逾10萬張幻燈片・古籍與影音，並設梵文全文資料庫（約1.3萬頁）與ASI 12,000冊古籍數位化入口，為印度傳統知識之綜合數位平台","IGNCA;梵文;手稿;數位典藏;文化部","中世紀印度（德里蘇丹國，約550–1526）","印度（新德里）","–","牛津博德利圖書館梵文手稿;印度國家手稿任務","–","英迪拉·甘地國立藝術中心（數位庫）","2026-08-01","ARR","官方數位典藏，免費開放","已收錄 metadata","印度傳統知識數位平台","印度"
"德里蘇丹時期波斯史籍（庫達巴赫什藏本）","德里蘇丹國宮廷史官","13–16世紀","考古與物質文化","庫達巴赫什東方公共圖書館","IN-ST-13","https://kblibrary.bih.nic.in/","fa;ar","文字;圖檔","庫達巴赫什東方公共圖書館（巴特那，1891成立）藏21,136件波斯・阿拉伯手稿，含《菲魯茲沙傳》（Sirat-i Firoz Shahi）等德里蘇丹王朝獨家史籍，數位化已逾358,000頁，為北印度伊斯蘭史第一手文獻庫","德里蘇丹;波斯手稿;伊斯蘭史;史籍;圖書館","中世紀印度（德里蘇丹國，約550–1526）","印度（比哈爾邦・巴特那）","–","《帖木兒王朝史》","–","庫達巴赫什東方公共圖書館（數位化）","2026-08-01","ARR","官方圖書館典藏，線上瀏覽","已收錄 metadata","德里蘇丹史獨家文獻","印度"
"IAS泰米爾醫學手稿（I.A.S. Tamil Medical Manuscripts）","泰米爾悉達醫學體系","古代～中世紀","教育與醫療史","泰米爾研究亞洲研究所（IAS）","IN-ST-14","https://www.unesco.org/en/memory-world/country-overview?country=IN","ta","文字;圖檔","清奈泰米爾研究亞洲研究所藏泰米爾悉達（Siddha）醫學手稿，反映德羅毗荼古老醫療體系，1997年登錄UNESCO世界記憶（印度最早登錄之一），為南印度傳統醫學文獻代表","泰米爾;悉達醫學;手稿;UNESCO世界記憶;傳統醫學","中世紀印度（德里蘇丹國，約550–1526）","印度（泰米爾納德邦・清奈）","–","濕婆悉檀多手稿（本地治里）","–","泰米爾研究亞洲研究所（典藏）","2026-08-01","ARR","世界記憶遺產，官方典藏","已收錄 metadata","泰米爾悉達醫學文獻","印度"
"濕婆悉檀多手稿（本地治里）","印度濕婆派悉檀多傳統","中世紀","考古與物質文化","本地治里法國研究所（IFP）","IN-ST-15","https://www.unesco.org/en/memory-world/country-overview?country=IN","sa;ta","文字;圖檔","本地治里法國研究所（IFP）與法國遠東學院（EFEO）共同典藏全球最大濕婆悉檀多文獻群，數千卷格蘭塔（Grantha）字體梵文棕櫚葉寫本，2005年登錄UNESCO世界記憶，為南印度濕婆教哲學經典之核心","濕婆悉檀多;梵文手稿;棕櫚葉寫本;UNESCO世界記憶;印度教","中世紀印度（德里蘇丹國，約550–1526）","印度（本地治里）","–","IAS泰米爾醫學手稿;劍橋大學圖書館梵文手稿","–","本地治里法國研究所（數位化）","2026-08-01","ARR","世界記憶遺產，官方典藏","已收錄 metadata","濕婆悉檀多文獻群","印度"
"《帖木兒王朝史》（Tarikh-i-Khandan-i-Timuriyya）","阿克巴大帝御前史官","1577–1578","考古與物質文化","庫達巴赫什東方公共圖書館","IN-ST-16","https://www.unesco.org/en/memory-world/tarikh-e-khandan-e-timuriyah","fa","圖檔;文字","阿克巴大帝委託撰寫之帖木兒王室世系史，世界僅存孤本，含132幅御用宮廷畫家繪製之彩圖，記帖木兒－莫臥兒王統與阿克巴朝史事，2011年登錄UNESCO世界記憶，為莫臥兒史畫與史學之祖","帖木兒王朝;阿克巴大帝;莫臥兒;波斯史籍;UNESCO世界記憶","莫臥兒帝國（1526–1857）","印度（比哈爾邦・巴特那）","–","德里蘇丹時期波斯史籍;蘭普爾拉札細密畫暨手稿","–","庫達巴赫什東方公共圖書館（孤本典藏）","2026-08-01","ARR","世界記憶遺產，孤本典藏","已收錄 metadata","莫臥兒史畫之祖","印度"
"蘭普爾拉札圖書館細密畫暨手稿","莫臥兒・波斯宮廷書畫傳統","16–19世紀","照片與影像","蘭普爾拉札圖書館","IN-ST-17","https://razalibrary.gov.in/","fa;ar;hi","圖檔;文字","蘭普爾拉札圖書館（1774年建立）為國家級印度—伊斯蘭文化庫，藏17,000部手稿・5,000幅細密畫，含阿克巴宮廷《Jahangirnama》（賈漢吉爾書）等名作，約18萬頁已數位化，為莫臥兒宮廷藝術之重鎮","蘭普爾拉札;細密畫;莫臥兒;Jahangirnama;伊斯蘭藝術","莫臥兒帝國（1526–1857）","印度（北方邦・蘭普爾）","–","莫臥兒細密畫收藏;《帖木兒王朝史》","–","蘭普爾拉札圖書館（數位化）","2026-08-01","ARR","官方圖書館典藏，線上瀏覽","已收錄 metadata","莫臥兒宮廷藝術重鎮","印度"
"莫臥兒細密畫收藏（國家博物館）","莫臥兒・拉賈斯坦・帕哈里畫派","16–19世紀","照片與影像","印度國家博物館","IN-ST-18","https://nationalmuseumindia.gov.in/","fa;hi","圖檔","印度國家博物館藏印度最大細密畫收藏之一（約17,000件），涵蓋莫臥兒・拉賈斯坦・帕哈里各畫派宮廷肖像・狩獵宴樂圖，官方站提供藏品資料庫與策展人專欄，為莫臥兒宮廷視覺文化核心典藏","莫臥兒細密畫;拉賈斯坦畫派;宮廷藝術;視覺史;博物館","莫臥兒帝國（1526–1857）","印度（新德里）","–","蘭普爾拉札圖書館細密畫暨手稿","–","印度國家博物館（藏品資料庫）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","印度最大細密畫收藏之一","印度"
"泰姬陵（Taj Mahal）","沙賈汗皇帝","1632–1653","考古與物質文化","印度考古調查局（ASI）","IN-ST-19","https://whc.unesco.org/en/list/252/","–","圖檔;地圖","沙賈汗為皇后慕塔芝瑪哈興建之白色大理石陵墓，融合波斯・土耳其・印度建築傳統，為莫臥兒建築顛峰，1983年登錄UNESCO世界文化遺產；印度考古調查局管理，官方與世界遺產中心提供影像與資料","泰姬陵;莫臥兒;世界遺產;建築;沙賈汗","莫臥兒帝國（1526–1857）","印度（北方邦・阿格拉）","–","德里紅堡複合體;莫臥兒細密畫收藏","–","印度考古調查局（世界遺產管理）","2026-08-01","ARR","世界文化遺產，官方管理單位","已收錄 metadata","莫臥兒建築顛峰","印度"
"德里紅堡複合體（Red Fort Complex）","沙賈汗皇帝","1639–1648","考古與物質文化","印度考古調查局（ASI）","IN-ST-20","https://whc.unesco.org/en/list/231/","–","圖檔;地圖","沙賈汗時代建於沙賈汗納巴德（舊德里）之皇城紅堡，為莫臥兒政治權力中心，融合波斯・帖木兒・印度傳統，2007年登錄UNESCO世界文化遺產；印度考古調查局管理，官方提供影像與導覽","紅堡;莫臥兒;世界遺產;德里;建築","莫臥兒帝國（1526–1857）","印度（德里）","–","泰姬陵;古德卜塔","–","印度考古調查局（世界遺產管理）","2026-08-01","ARR","世界文化遺產，官方管理單位","已收錄 metadata","莫臥兒皇城代表","印度"
"古德卜塔（Qutb Minar Complex）","德里蘇丹國（庫特卜丁·艾巴克）","1193–1368","考古與物質文化","印度考古調查局（ASI）","IN-ST-21","https://whc.unesco.org/en/list/233/","–","圖檔;地圖","德里古德卜塔為庫特卜丁·艾巴克始建之勝利塔群，含印度最早伊斯蘭清真寺（Quwwat-ul-Islam）與鐵柱，1993年登錄UNESCO世界文化遺產，象徵德里蘇丹國伊斯蘭化之開端，印度考古調查局管理","古德卜塔;德里蘇丹;伊斯蘭建築;世界遺產;勝利塔","中世紀印度（德里蘇丹國，約550–1526）","印度（德里）","–","德里紅堡複合體;德里蘇丹時期波斯史籍","–","印度考古調查局（世界遺產管理）","2026-08-01","ARR","世界文化遺產，官方管理單位","已收錄 metadata","德里蘇丹伊斯蘭建築開端","印度"
"荷蘭東印度公司（VOC）檔案","荷蘭東印度公司（VOC）","1602–1795","官方檔案文書","荷蘭國家檔案館","IN-ST-22","https://www.nationaalarchief.nl/onderzoeken/archief/1.04.02","nl;fa;ta;ml","文字;地圖;圖檔","世界上第一個跨國公司檔案，500萬頁已掃描上線並以自動文字辨識（ATR）全文檢索，2003年登錄UNESCO世界記憶（荷／印尼／印度／斯里蘭卡／南非合登錄）；含印度洋航線與科欽・科羅曼德爾等印度據點史料，為荷印在印度貿易殖民史最重要檔案","VOC;荷蘭東印度公司;印度洋貿易;殖民檔案;UNESCO世界記憶","莫臥兒帝國（1526–1857）","印度（科欽・科羅曼德爾海岸・古吉拉特）","–","果阿歷史檔案館;清奈Dutch Records","–","荷蘭國家檔案館（數位典藏）","2026-08-01","ARR","世界記憶遺產，數位檔案庫開放","已收錄 metadata","荷印貿易殖民檔案","印度"
"果阿歷史檔案館（Arquivo Histórico do Estado da Índia）","葡屬印度殖民政府","1498–1961","官方檔案文書","果阿邦檔案與考古局","IN-ST-23","https://www.goa.gov.in/","pt;fa;sa;ta","文字;圖檔","1595年設立、葡屬印度最古老檔案館，含Monções（季風年度信函）・與鄰邦君主書信（Livros dos Reis Vizinhos）・機密檔案（Livros dos Segredos）等，正進行大規模數位化，為葡印五百年歷史之核心檔案庫","果阿;葡屬印度;殖民檔案;季風信函;檔案館","莫臥兒帝國（1526–1857）","印度（果阿）","–","荷蘭東印度公司（VOC）檔案;葡萄牙國家檔案館Torre do Tombo","–","果阿邦檔案與考古局（數位化中）","2026-08-01","ARR","官方檔案館典藏，需申請閱覽","已收錄 metadata","葡屬印度五百年檔案庫","印度"
"印度國家檔案館東印度公司與英屬印度檔案","東印度公司／英屬印度政府","17世紀–1947","官方檔案文書","印度國家檔案館（NAI）","IN-ST-24","https://nationalarchives.nic.in/","en;hi;fa","文字;地圖","南亞最大檔案庫（1891成立），典藏東印度公司至英屬印度之總督府・外務部檔案・輿圖與微縮片，含吉爾吉特佛經（UNESCO世界記憶2017）原件，為印度近代國家形成之國家記憶主庫","印度國家檔案館;東印度公司;英屬印度;殖民檔案;國家記憶","英屬印度（1858–1947）","印度（新德里）","–","Abhilekh Patal數位典藏;吉爾吉特手稿","–","印度國家檔案館（數位化）","2026-08-01","ARR","官方檔案館典藏，需申請閱覽","已收錄 metadata","南亞最大檔案庫","印度"
"Abhilekh Patal數位檔庫","印度國家檔案館（NAI）","1748–現代","官方檔案文書","印度國家檔案館（NAI）","IN-ST-25","https://www.abhilekh-patal.in/","en;hi;fa","文字;圖檔","NAI官方數位檢索平台，索引約700萬筆檔案・已數位化30萬筆（1,500萬頁），提供Page on Demand與Digitize on Demand服務，涵蓋莫臥兒末期至獨立後檔案，為印度官方檔案之線上主庫","Abhilekh Patal;數位檔案;印度國家檔案館;檔案檢索;英屬印度","英屬印度（1858–1947）","印度（新德里）","–","印度國家檔案館東印度公司與英屬印度檔案","–","印度國家檔案館（數位典藏）","2026-08-01","ARR","官方檔案數位庫，線上檢索","已收錄 metadata","印度官方檔案線上主庫","印度"
"英屬印度內政部政治檔案（Home Political）","印度內政部／英屬印度政府","約1880年代–1947","官方檔案文書","印度國家檔案館（NAI）","IN-ST-26","https://www.abhilekh-patal.in/","en;hi;ur","文字;圖檔","內政部Political-I/Internal系列：不合作運動・騷亂・學生運動・情治監控等印度獨立運動第一手檔案，已於Abhilekh Patal數位公開，為研究甘地時代民族運動之核心官方文獻","獨立運動;不合作運動;內政部檔案;政治檔案;印度國族主義","英屬印度（1858–1947）","印度（新德里）","–","甘地遺產入口;自由運動檔案","–","印度國家檔案館（數位典藏）","2026-08-01","ARR","官方檔案數位庫，線上檢索","已收錄 metadata","印度獨立運動核心檔案","印度"
"印度人口普查數位圖書館（1872–2011）","印度人口普查局","1872–2011","統計與調查資料","印度人口普查局","IN-ST-27","https://censusindia.gov.in/nada/","en;hi","文字;圖檔","自1872年首度全印普查起之完整人口・宗教・種姓・職業統計報告數位庫，為英屬印度與印度共和社會經濟史最重要量化史料，含各年份普查報告全文數位影像","人口普查;統計;種姓;社會經濟史;量化史料","英屬印度（1858–1947）","印度全國","–","《帝國印度方志》;印度國家圖書館","–","印度人口普查局（數位圖書館）","2026-08-01","ARR","官方統計數位庫，線上瀏覽","已收錄 metadata","印度社會經濟量化主庫","印度"
"印度國家圖書館（加爾各答）印刷品與期刊","印度國家圖書館（Kolkata）","18–20世紀","報刊與雜誌","印度國家圖書館（加爾各答）","IN-ST-28","https://nationallibrary.gov.in/","bn;hi;ta;en","文字;地圖","依1954送存法收存全印出版物，館藏含早期孟加拉語・印地語・坦米爾語印本書刊與地圖；逾2.5萬冊古籍數位化上傳至Indian Culture Portal，為印度出版史與知識傳播之國家書庫","國家圖書館;報刊;印刷品;孟加拉語;數位典藏","英屬印度（1858–1947）","印度（西孟加拉邦・加爾各答）","–","印度人口普查數位圖書館;《帝國印度方志》","–","印度國家圖書館（數位化）","2026-08-01","ARR","官方圖書館典藏，線上瀏覽","已收錄 metadata","印度國家出版書庫","印度"
"《帝國印度方志》（Imperial Gazetteer of India）","英屬印度政府官修方志","1860–1940","方志與輿圖","印度文化部（Indian Culture Portal）","IN-ST-29","https://www.indianculture.gov.in/","en","文字;地圖","印度文化數位入口（NVLI）數位重刊1908年版《Imperial Gazetteer of India》全26卷及各區方志（District Gazetteers），為英屬印度地理・行政・經濟最完整官修文獻，反映殖民治理之知識體系","帝國印度方志;方志;英屬印度;地理;殖民知識","英屬印度（1858–1947）","印度全國","–","印度人口普查數位圖書館;印度國家圖書館","–","印度文化部（Indian Culture Portal）","2026-08-01","ARR","官方數位重刊，免費開放","已收錄 metadata","英屬印度官修方志大全","印度"
"自由運動檔案（Freedom Archive）","印度文化部（印度獨立75週年）","1857–1947","報刊與雜誌","印度文化部（Indian Culture Portal）","IN-ST-30","https://www.indianculture.gov.in/","en;hi;ur","圖檔;文字;影音","文化部為印度獨立75週年建置之殖民抵抗運動史料庫，匯集老報章剪報・照片・檔案文件與口述影像，含「Unsung Heroes」無名英雄專欄，為印度自由鬥爭之綜合數位史料","自由運動;獨立運動;報刊;口述歷史;印度獨立","英屬印度（1858–1947）","印度全國","–","英屬印度內政部政治檔案;甘地遺產入口","–","印度文化部（Indian Culture Portal）","2026-08-01","ARR","官方數位典藏，免費開放","已收錄 metadata","印度自由鬥爭綜合史料庫","印度"
"India Office Records（IOR）印度辦公室檔案","英國東印度公司／印度事務部","1600–1948","官方檔案文書","大英圖書館","IN-ST-31","https://searcharchives.bl.uk/","en;hi;fa;ur","文字;地圖;圖檔","大英圖書館藏英屬印度核心官方檔案全宗：東印度公司（1600–1858）與印度事務部（1858–1947）行政通訊・Proceedings・土地調查・地圖與照片，全長約15公里，為英印殖民統治最完整官方記錄","IOR;印度辦公室檔案;東印度公司;英屬印度;殖民檔案","英屬印度（1858–1947）","印度・英國（倫敦）","–","Qatar Digital Library;英國國家檔案館IOR目錄","–","大英圖書館（檔案館藏）","2026-08-01","ARR","官方檔案館典藏，線上檢索","已收錄 metadata","英印殖民統治官方總檔","印度"
"Qatar Digital Library數位化IOR（QDL）","卡達國家圖書館×大英圖書館","約1763–1951","官方檔案文書","卡達國家圖書館","IN-ST-32","https://www.qdl.qa/en","en;ar","文字;地圖;圖檔;影音","卡達國家圖書館與大英圖書館合作免費開放約50萬頁IOR數位影像，含印度洋・波斯灣駐地檔・海圖・照片與錄音，英阿雙語檢索，為英屬印度洋檔案數位公開之旗艦平台","Qatar Digital Library;IOR;印度洋;殖民檔案;數位典藏","英屬印度（1858–1947）","印度洋・波斯灣（印度沿岸）","–","India Office Records（IOR）","–","卡達國家圖書館（數位典藏）","2026-08-01","ARR","數位合作典藏，免費開放","已收錄 metadata","印度洋殖民檔案數位平台","印度"
"英國國家檔案館IOR目錄（Discovery）","英國國家檔案館","1600–1948","官方檔案文書","英國國家檔案館","IN-ST-33","https://discovery.nationalarchives.gov.uk/","en","文字","英國國家檔案館Discovery平台收錄75萬筆IOR目錄描述（大英圖書館釋出），篩選「British Library: Asian and African Studies」即可檢索英屬印度殖民檔案；IOR原件實藏於大英圖書館，TNA另藏印度相關CO・FO・WO軍事外交系列","Discovery;IOR;英國國家檔案館;殖民檔案;檔案檢索","英屬印度（1858–1947）","印度・英國（倫敦）","–","India Office Records（IOR）","–","英國國家檔案館（Discovery平台）","2026-08-01","ARR","官方檔案目錄，線上檢索","已收錄 metadata","IOR目錄跨庫檢索入口","印度"
"甘地遺產入口（《甘地全集》100卷）","甘地（Mahatma Gandhi）","1869–1948","人物傳記與家族史料","甘地遺產入口（薩巴馬蒂道院）","IN-ST-34","https://www.gandhiheritageportal.org/","en;hi;gu","文字;圖檔;影音","甘地遺產入口受印度文化部委託建置，收錄《Collected Works of Mahatma Gandhi》英/印地/古吉拉特語全100卷・甘地著作初版與《Young India》等期刊，約50萬頁，附照片・電影與錄音，為全球最大甘地數位檔案","甘地;甘地全集;非暴力運動;獨立運動;人物檔案","英屬印度（1858–1947）","印度（阿黙達巴德・薩巴馬蒂道院）","–","英屬印度內政部政治檔案;自由運動檔案","–","甘地遺產入口（薩巴馬蒂道院）","2026-08-01","ARR","官方數位典藏，免費開放","已收錄 metadata","全球最大甘地數位檔案","印度"
"甘地紀念館（Gandhi Smriti）","甘地紀念與達山委員會","1947–1948","人物傳記與家族史料","甘地紀念與達山委員會","IN-ST-35","https://www.gandhismriti.gov.in/","en;hi","圖檔;影音","甘地遇刺地（老比爾拉宅邸）暨國家紀念館，保存其生命最後144日起居原貌・手稿・照片與「From Mohan to Mahatma」特展數位資料，為甘地晚年與殉道之國家記憶","甘地紀念館;甘地;殉道;國家紀念館;人物檔案","印度共和（1947–迄今）","印度（新德里）","–","甘地遺產入口;國家甘地博物館","–","甘地紀念與達山委員會（典藏）","2026-08-01","ARR","官方紀念館典藏，線上瀏覽","已收錄 metadata","甘地遇刺地國家記憶","印度"
"國家甘地博物館（德里）","甘地與卡司都麗家族文物","1869–1948","人物傳記與家族史料","國家甘地博物館","IN-ST-36","https://www.gandhimuseum.org/","en;hi","圖檔;文字","德里國家甘地博物館典藏甘地與卡司都麗遺物・著作・照片與影音，圖書館為全球最大甘地主題藏書之一，官方站提供文物目錄與展覽資訊，為甘地物質與精神遺產之國家典藏","國家甘地博物館;甘地;遺物;人物檔案;博物館","印度共和（1947–迄今）","印度（新德里）","–","甘地紀念館;甘地遺產入口","–","國家甘地博物館（典藏）","2026-08-01","ARR","官方博物館典藏，線上瀏覽","已收錄 metadata","甘地遺物國家典藏","印度"
